# ObsMCLauncher MOD翻译文件
# 格式：curseforge_id|mod_ids|chinese_name|abbr
# 数据来源：mcmod百科 + HMCL + PCL2 融合
#
ex-pattern-provider,extended-ae|expatternprovider,extendedae|AE2扩展|EAE
applied-energistics-2-wireless-terminals|ae2wtlib,appliedenergistics2wirelessterminals|AE2无线终端|AE2WT
applied-energistics-2-wireless-terminals-forge|ae2wtlib,appliedenergistics2wirelessterminalsforge|AE2无线终端Forge版|AE2WT-Forge
ae2-fluid-crafting|ae2fc,ae2fluidcrafting|AE2流体合成套件|ae2fc
ae2-fluid-crafting,ae2-fluid-crafting-rework|ae2fc,ae2fluidcraftingrework|AE2流体合成套件重置|AE2FC
ae2-import-export-card|ae2importexportcard,ae2insertexportcard|AE2输入输出卡|
aeinfinitybooster|aeinfinitybooster|AEInfinityBooster|
aei,almost-enough-items|almostenoughitems|AEI物品管理器|AEI
aeble|aeble|AEble|
|aebusblacklist|AE存储总线黑名单|
ae-wireless-transceiver|aewireless,aewirelesstransceiver|AE无线收发器|AWT
aewirelesschannel|aewirelesschannel|AE无线频道|AEWC
applied-web-terminal|appliedwebterminal,appwebterminal|AE网络终端|AWT
afkfish|autofish|AFKFish|
afkpeace|afkpeace|AFKPeace|
afsu-mod|AFSU|AFSU|
ahznb-sword-plus|ahznbswordsplus|AHZNB sword plus|
ahznbs-naruto-mod-reroll|rerollthingy|AHZNB's Naruto Mod Reroll|
ahznbs-naruto-mod-addon|narutomodaddon|AHZNB's Naruto Mod || ADD-ON|
ahznbs-naruto-mod|narutomod|AHZNB's Naruto ShinobiCraft|
sharingan-addon-ahznbs-naruto-mod|sharinganaddon|AHZNB's Naruto | Sharingans|
aimod|aimod|AI Chat Mod|AIC
|ac|AIChat|AC
|aichatmod|AIChat Mod|ACM
aiots-expanded-fabric|aiotexpanded|AIOTs Expanded|
|aimobs|AImobs|
ai-reducer|aireducer|AI减速器|
aireplyassistant|aira|AI回复助手|aira
|aichat,aicomm|AI对话-自定义AI来源|AC
|ai_command|AI指令|AIC
ai-command|aicommand|AI指令生成|AICG
|aichat|AI接管聊天|AC
ai-improvements|aiimprovements|AI改进|
|ailocalizer|AI汉化器|AIL
|translation_mod|AI翻译器|ATM
ai-chat|chatai|AI聊天|
ai-art-deco-1|aiartdeco1,aiblock1|AI装饰一号|AI1
ascendant-mobs|ascendant_mobs|AM - RPG Mob Leveling System|
am2playground|am2pg|AM2PlayGround|
ames-mobs-renew|amesmobsmod|AME's Mobs Renew|
ames-stranger-things|stranger_things|AME's Stranger Things|
ames-mobs-configuration|amemobsettings,amesmobsconfiguration|AME生物配置|Amc
another-one-bites-the-dust-berry-bushes|aobdbb|AOBD Berry Bushes|AOBDBB
aobd-ore-chunks|aobdorechunks,jaopcaoc|AOBD/JAOPCA Ore Chunks|AOBDOC/JAOPCAOC
aobd-singularities|aobdsingularities|AOBD的奇点|
aof-emotes|aofemotes|AOF Emotes|
mts-iv-aq-studios-himars|m142_himars|AQ studios Himars|
arkane-domains|arkane_domains|ARKANE DOMAINS|
library-for-ar-reworked|libVulpes|ARLib|
asjcore|asjlib,hooklib,worldengine|ASJCore|
asm-fixes-j-a-f-m|asmfixes|ASM Fixes|J.A.F.M
asmc|asmc|ASMC|
asmc-performance-patch|asmc|ASMC Performance Patch|
astages|astages|AStages|
astages-curios|astages_curios|AStages Curios|
astages-pufferfishs-skills|astagespufferfishskills|AStages Pufferfish's Skills|
atm-additions|atmadditions|ATM: Additions|
atp-safe-creeper|ATP-safe_creeper,safe_creeper|ATP友好苦力怕|
atp-miner|atp_miner|ATP高能连锁|ATPM
atsassistmod|atsassistmod|ATSAssistMod|ATS
ati-structures|ati_structures,ati_structures_fabric|ATi Structures|
ati-structures-datapack-vanilla|ati_structuresv|ATi Structures - Default / ATi Structures - Vanilla Edition|
almost-unified-ie|almostunified_ie|AU: Immersive Engineering / Almost Unified: IE|
avp|avp|AVP|
aardvarks-weird-wonderful-wild|weird_wonderful_wild|Aardvark's Weird Wonderful Wild|
abelia|abelia|Abelia|
abelia||Abelia - 审核中|
|llama_abilities|Ability Carpets for Llamas|
abnorlex-and-cryptids-delight|abnorlex_and_cryptids_delight|Abnorlex and Cryptid's Delight|
abnormals-delight|abnormals_delight|Abnormals Delight|
|abouttea|AboutTea|
above-and-below|above_and_below|Above and Below|
abridged|abridged|Abridged|
absent-by-design|absentbydesign|Absent by Design|
absolute-ultracraft|ultracraft|Absolute ULTRACRAFT|
|absolutely-proprietary|Absolutely Proprietary|
absolutely-stuffed-uncapped-hunger-saturation|absolutely_stuffed|Absolutely Stuffed! Uncapped Hunger/Saturation|
abundance|abundance|Abundance|
abundant-atmosphere|abundant_atmosphere|Abundant Atmosphere|
abuseless-hardcore|abuselesshardcore|Abuseless Hardcore|
abyssal-decor|abyssal_decor|Abyssal Decor|AD
abyssal-depths|abyssaldepths|Abyssal Depths|
abyssal-guardian-boss-datapack-music||Abyssal Guardian Boss Datapack MUSIC EXTENSION|
|abyssaltweaker|AbyssalTweaker|
accelerated-decay|accelerateddecay|Accelerated Decay|
accesstransformerjs|access_transformer_js|AccessTransformerJS|ATJS
|accesswidener-loader|AccessWidener Loader|
accessible-step|accessible-step|Accessible Step|
accessories|accessories|Accessories|
accessories-compat-layer|accessories_compat_layer|Accessories Compatibility Layer|
accessorify|accessorify|Accessorify|
|accessoryapi|Accessory API|
acclaimed-origins|acclaimed_origins|Acclaimed Origins|
accurate-block-placement|accurateblockplacement|Accurate Block Placement|
accurate-block-placement-reborn||Accurate Block Placement Reborn|
accurate-block-placement-reforged|accurate_block_placement|Accurate Block Placement Reforged|
accurate-maps|accuratemaps|Accurate Maps|
aces-spell-utils|aces_spell_utils|Ace's Spell Utils|
acecraft|acecraft|AceCraft|
|acedium|Acedium|
achievement-extreme|AchievExtrem|Achievement Extreme|
achievements-optimizer|achiopt|Achievements Optimizer|
|actionbarinfo|Action Bar Info|ABI
|actioninventory|Action Inventory Mod|
|action_hunger|ActionHunger|
|actionlib|ActionLib|
actions|actions|Actions|
actions-of-stamina|actionsofstamina|Actions of Stamina|AoS
actually-additions-fluxified|aafluxified|Actually Additions Fluxized|
|actually-camel|Actually Camel|
actually-divisions|actually_division|Actually Divisions|
actually-harvest|actuallyharvest|Actually Harvest|
actually-subtractions|actuallyadditions|Actually Subtractions|
actually-unbreaking-forge|actuallyunbreaking|Actually Unbreaking|
actually-useful-smithing-table|actuallyusefulsmithingtable|Actually Useful Smithing Table|
actually-useful-stonecutter|mandatory|Actually Useful Stonecutter|
ad-astra-proxima-plus|proxima_plus|Ad Astra : Proxima Plus|
ad-astra-extra|adastraextra|Ad Astra Extra|
ad-astra|ad_astra|Ad Astra!|
ad-astra-giselle-addon|ad_astra_giselle_addon|Ad Astra!: Giselle Addon|
ad-astra-extra-additions|ad_astra__extra_additions|Ad Astra: Extra Additions|
ad-astra-more-structures|ad_astra_more_structures|Ad Astra: More Structures|
|pandoras_frontier|Ad Astra: Pandora's Frontier|
perspatium|perspatium|Ad Astra: Per Spatium Et Tempus|
ad-astra-rocketed|ad_astra_rocketed|Ad Astra: Rocketed|
ad-astra-star|ad_astra_star|Ad Astra: Star|
ad-extendra|ad_extendra|Ad Extendra|
ad-tetra|adtetra|Ad Tetra!|
advitam-addon-for-requiem|advitam|Ad Vitam: Addon for Requiem|
adapaxels|adapaxels|AdaPaxels|
adaptive-tooltips|adaptive-tooltips|Adaptive Tooltips|
additionz|additionz|AdditionZ|
additional-attributes|additional_attributes|Additional Attributes|
additional-compression|additionalcompression|Additional Compression|
additional-dragons|additionaldragons|Additional Dragons|
additional-enchanted-miner|quarryplus|Additional Enchanted Miner|AEM
|additionalentityattributes|Additional Entity Attributes|AEA
|additionalentityattributes|Additional Entity Attributes (Forge)|AEA
additional-events||Additional Events|
additional-fruits|additional_fruits|Additional Fruits|
|fin_additional_jewelryz|Additional JewelryZ|
additional-placements|additionalplacements|Additional Placements|
additional-rpg-jewelry|additional_rpg_jewelry|Additional RPG Jewelry (More RPG Content)|
additional-records|Records|Additional Records|
Additional-Redstone|additionalredstone|Additional Redstone|
additional-resources|additionalresources|Additional Resources|
additional-trims|additional-trims|Additional Trims|
additionalstatus|AdditionalStatus|AdditionalStatus|
additions-mod|additions|Additions Mod|
moffs-addonapi-dynload|addonapi|AddonAPI|
addonslib|addonslib|AddonsLib|
|addrlimiter|AddrLimiter|
adobe-blocks-2|adobeblocks|Adob​​e Blocks 2|
adorabuild-structures|adorabuild_structures|AdoraBuild: Structures|
adorable-eggs|adorable_eggs|Adorable Eggs|
adorable-hamster-pets|adorablehamsterpets|Adorable Hamster Pets|
adorn-for-forge|adorn|Adorn|
adorned||Adorned (Curios)|
advanced-extended-creative-mode|act|Advanced Creative Tab|ACT
|advanceddispensers|Advanced Dispensers|
advanced-finders|adfinders|Advanced Finders|
advanced-fishing|advanced-fishing|Advanced Fishing|
|advancedgenetics|Advanced Genetics|
|advancedhud|Advanced HUD|
advanced-hoppers|advanced_hoppers|Advanced Hoppers|
advanced-inventory|advInv|Advanced Inventory|
laser-mod-2|lasermod|Advanced Laser|
advanced-lootable-weapons|advancedlootableweapons|Advanced Lootable Weapons|ALW
advanced-movement|advanced_movement|Advanced Movement|
|advancedupgradetemplatesmod|Advanced Netherite Upgrade Tem|
advancedreborn|advanced_reborn|Advanced Reborn|
advanced-rifles|advancedrifles|Advanced Rifles|
advanced-rocketry-2|advancedrocketry|Advanced Rocketry - Reworked/Advanced Rocketry - fixed|
advanced-rocketry-tweaker|art|Advanced Rocketry Tweaker|ART
advanced-shulkerboxes|advanced-shulkerboxes|Advanced Shulkerboxes|
advanced-solar-materials|advsolars|Advanced Solar Materials|
advanced-solar-panels-patcher|advsolarpatch|Advanced Solar Panels Patcher|
advanced-spawn-control|advancedspawncontrol|Advanced Spawn Control|
|fluffyalien_asn|Advanced Storage Network|
advanced-tooltips|advanced-tooltips|Advanced Tooltips|
advanced-tweakery|AdvancedTweakery|Advanced Tweakery|
|advanced-ui-scale|Advanced UI Scaling|
advanced-inventory-mod|advancedinventory|Advanced Upgradable Inventory|
|avl|Advanced Vanilla Logistics|AVL
advanced-world-selection|WorldSelectionAdvanced|Advanced World Selection|
advancedchat|advancedchat|AdvancedChat|
advancedchatbox|advancedchatbox|AdvancedChatBox|
advancedchatcore|advancedchatcore|AdvancedChatCore|
advancedchatfilters|advancedchatfilters|AdvancedChatFilters|
advancedchathud|advancedchathud|AdvancedChatHUD|
advancedchatlog|advancedchatlog|AdvancedChatLog|
advancedchatmacros|advancedchatmacros|AdvancedChatMacros|
advancement-based-spawning|abs|Advancement Based Spawning|
advancement-extreme|advancementextreme|Advancement Extreme|
advancement-frames|advancementframes|Advancement Frames|
adv-js|advjs|Advancement JS|AdvJS
adv-js|advjs|Advancement JS - 更新较慢|
advancement-locator|cta|Advancement Locator|CTA
advancement-screenshot|advancementscreenshot|Advancement Screenshot|
advancement-no-more|nomoreadvancement|Advancement... No More !!!|
advancements-reloaded|advancementinforeloaded,advancements_reloaded|AdvancementInfo Reloaded|
advancementinfo-update|advancementinfo|AdvancementInfo Update|
advancements-debug|advdebug|Advancements Debug|
advancements-enlarger|advancements-enlarger|Advancements Enlarger|
adventtic|adventtic|AdventTiC|
adventure-apparatus|adventureapparatus|Adventure Apparatus|
adventurez|adventurez|AdventureZ|
adventurers-beyond|adventuresmod|Adventurer's Beyond|
shadow-x-adventures-plus|adventuresplus|Adventures +|
adventures-in-time|ait|Adventures in Time|AIT
aerial-affinity|aerialaffinity|Aerial Affinity|
aerial-hell|aerialhell|Aerial Hell|
aerlune-rpg|world|Aerlune RPG|
aerlune-rpg-2|aerlunerpg|Aerlune RPG 2|
aeroblender|aeroblender|AeroBlender|
|intarray.beacon|Aesthetic Beacons|
aesthetic-shelving|aestheticshelving|Aesthetic Shelving|
aesthetics|aesthetics|Aesthetics|
aether-additions|aeadditions|Aether Additions|
aether-enhanced-extinguishing|aether_enhanced_extinguishing|Aether Addon: Enhanced Extinguishing|
aether-gloves-for-all|aether_gloves_for_all|Aether Addon: Gloves For All|
aether-overworld-ores|aether_overworld_ores|Aether Addon: Overworld Ores|
aether-treasure-reforging|aether_treasure_reforging|Aether Addon: Treasure Reforging|
aether-addon|aether_legacy_addon|Aether Continuation|
aether-dragon-dragon-survival-addon|ds_aether_addon|Aether Dragon - Dragon Survival addon|
aether-expansion|aetherexpansion|Aether Expansion|
aether-gear-expansion|aethergearexpansion|Aether Gear Expansion|
aether-plus|aetherplus|Aether Plus|
|aethersdelight|Aether's Delight|
extra-moas|moa_dlc|Aether: Extra Moas|
aetheric-tetranomicon|aetheric_tetranomicon|Aetheric Tetranomicon|
aetherium-ashen-armor|aetheriumashenarmor|Aetherium Ashen Armor|
aetherworks-refracted|aetherworks|Aetherworks Refracted|
aetherworks-extended-life|aetherworks|Aetherworks Unofficial Extended Life|
|affectionate|Affectionate|
affinity|affinity|Affinity|
|affix|Affix|
afraid-of-the-dark|afraidofthedark|Afraid of the Dark|
aftershock|aftershock|Aftershock|
agadars-brewing-api|brewingapi|Agadar's Brewing-API|
age-of-exile|mmorpg|Age of Exile|
project-steam|projectsteam|Age of Steam Core|
ageing-mobs|ageingmobs|Ageing Mobs|
ageing-spawners|ageingspawners|Ageing Spawners|
agenta|aganta|Agenta|
agers-earthquake-generator|agers_earthquake_mod|Ager's Earthquake Generator|
agers-giant-junkyard-dimension|junkyard|Ager's Giant Junkyard Dimension|
ages-api|ages_api|Ages API|
aggressive-chickens|aggresive-chickens|Aggressive Chickens|
aggro-fix|aggrofix|Aggro Fix|
aggro-indicator|aggroindicator|Aggro Indicator|
agritech-automated-crops|agritech|AgriTech: Crops|
agritech-evolved|agritechevolved|AgriTech: Evolved|
agritech-trees-automated-trees|agritechtrees|AgriTech: Trees|
|aitplus|AiT Plus|
|aikoyoritweaks|Aikoyori Tweaks|
aileron|aileron|Aileron|
aim-plus|aim_plus|Aim Plus|
aiming-fix|aimingfix|Aiming Fix|
air-jump|airjump|Air Jump|
|air-puffers|Air Puffers|
airport|mass_island_airfields|Airport Lighting|
airportmod|airportlight|Airport Mod|
akicaters-shelves|aki|Akicater's Shelves|
akisephilas-bosses|akisephilas_bosses|Akisephila's Bosses|
akutolib|akutolib|AkutoLib|
alans-bees|mmred|Alan's Bees|
|auui|Alan's Unified UI|
albedo|albedo|Albedo|
album-go-wall|testistest|Album Go Wall!|
alcatrazcore|alcatrazcore|Alcatraz Core|
alchemancy|alchemancy|Alchemancy|
alchemists-garden|alchemists_garden|Alchemist's Garden: Regrowth|
alchemylib|alchemylib,alib|AlchemyLib|AL
alcocraft|alcocraftplus|AlcoCraft+|
alcocraft-beer-and-stuff|alcocraft|Alcocraft: Beer & Stuff|
|aleph|Aleph|
alessandrvs-enchantments|alessandrvenchantments|Alessandrv's Enchantments|
alex-cave-addon|alex_cave_addon|Alex Cave Addon|
alexs-caves|alexs_caves,alexscaves|Alex 的洞穴|
alexs-caves-enriched|alexscavesenriched|Alex 的洞穴：浓缩|
alexs-caves-entropy|alexscavesentropy,entropy|Alex 的洞穴：熵|ACE
alexs-caves-torpedoes,alexscaves-torpedoes|alexs_caves_torpedoes,alexscavestorpedoes|Alex 的洞穴：物品 & 鱼雷|
alexs-mobs|alexsmobs|Alex 的生物|AM
alexs-mobs-interaction|alexsmobs,alexsmobsinteraction|Alex 的生物：交互|
alexs-armoury|alexs_armoury|Alex's Armoury|
alexs-caves-delight|alexcaves_delight,alexscavesdelight|Alex's Caves Delight|
alexs-caves-dimension|alexscavesdimension|Alex's Caves Dimension|
alexs-caves-rad-fork|alexscaves|Alex's Caves rad fork|
alexs-caves-adventure|alexscaves_adventure|Alex's Caves: Adventure|
alexs-caves-trimmed|alexscaves_trimmed|Alex's Caves: Trimmed!|
alexs-delight|alexsdelight|Alex's Delight|
alexs-mobs-naturalist-compat|alexsmobsnaturalistcompat|Alex's Mobs - Naturalist Compat|
alexandrite-and-more|alexandriteandmore|Alexandrite And More|
alexiillib|alexiillib|AlexiiLLib|
alexis-64-food|alexis_food|Alexis 64's Food|
alexscavesexemplified|alexscavesexemplified|Alexs Caves Exemplified|
alexs-delights|alexsdelight,alexsdelights|Alex乐事|
dimension-of-caves|dimension_of_caves,dimensionofcaves|Alex的洞穴维度|DC
alfheim-lighting-engine|alfheim|Alfheim Lighting Engine|
algane|algane|Algane|
alien-apocalypse|aliensinvasion|Alien Apocalypse|
alienevo|alienevo_pack|Aliens Evolution|
|alinlib|AlinLib|
alkimicraft-part-i-project-oasis|alkimicraft|AlkimiCraft|
all-arrows-infinity-fix|allarrowsinfinityfix|All Arrows Infinity Fix|
all-bark-all-bite|all_bark_all_bite|All Bark, All Bite|
all-da-nuggets|all_da_nuggets|All Da Nuggets|
all-enchantments-for-trade|allenchantmentsfortrade|All Enchantments for Trade|
all-loot-drops|alllootdrops|All Loot Drops|
all-mobs-attack-villagers|allmobsattackvillagers|All Mobs Attack Villagers|
all-the-arcanist-gear|allthearcanistgear|All The Arcanist Gear|
all-the-blocks||All The Blocks|
all-the-fan-made-discs|all_the_fan_made_discs|All The Fan Made Discs|ATFMD
|AllTheItems,alltheitems|All The Items|
all-the-swords|alltheswords|All The Swords|
all-the-trims|allthetrims|All The Trims|
all-the-tweaks|allthetweaks|All The Tweaks|
all-the-wood-weve-got|woodwevegot|All The Wood We've Got|WWG
all-trees-drop-apples|all_trees_drop_apples|All Trees Drop Apples|
tuttas-doors|alltuttasneeds|All Tutta's Needs / Tutta's Doors|
ato|alltheores|All the Ores|ATO
all-the-wizard-gear|all_the_wizard_gear,allthewizardgear|All the Wizard Gear|
all-mobs-out-of-the-pool|outofthepool|All undead out of the pool!|
macaws-for-terrafirmacraft|mcw_tfc_aio|All-In-One, Macaw's Mods for TerraFirmaCraft|
|allmusic_client,allmusic_server|AllMusic|
allthecompressed|allthecompressed|AllTheCompressed|
allthefood|allthefood|AllTheFood|
alltheleaks|alltheleaks|AllTheLeaks (Memory Leak Fix)|
allayed|allayed|Allayed|
a-v-a-in-minecraft|ava|Alliance of Valiant Arms Guns|A.V.A
allis-one-way-glass,mc-modsis-one-way-glass|mcmodsisonewayglass,onewayglass|Alli的单向玻璃|
|allowchat|Allow Chat|
|allow-editing-player-data|Allow Editing Player Data|
|alloy_smelter|Alloy Smelter|
alloygery|alloygery|Alloygery|
allthemodium|allthemodium|Allthemodium|
allurement|allurement|Allurement|
almanac-lib|almanac|Almanac LIB|
almost-bedtime|almost_bedtime|Almost Bedtime|
almost-bedtime||Almost Bedtime - 已失效|
almost-unified|almostunified|Almost Unified|
almost-vanilla|almost_vanilla|Almost Vanilla|
almost-all-the-ores|almostalltheores|Almost all the Ores|
|mindful-loading-info|Aloria Loading|
alpine|alpine|Alpine|
alshanexs-familiars|alshanex_familiars|Alshanex's Familiars|
alt-hud|althud|Alt HUD|
alternacraft|alternacraft|Alterna Craft|
alternate-current|alternate-current,alternate_current|Alternate Current|
|alternatecurrent|Alternate Current Unofficial|
altorigingui|altorigingui|Alternate Origin GUI|
|alternativechunkloading|Alternative Chunkloading|
alternative-world-save-location|alternativeworldsavelocation|Alternative World Save Location|
|altoclef|Alto Clef|
|alwaysmoreitems|Always More Items|AMI
|always-online|Always Online|
|always-sprint|Always Sprint|
ama-damage-indicator|damage_indicator|Ama's Damage Indicator|
amaleafs-expantion-world-mod|aewmod|Amaleaf's Expantion World Mod|
afaoe|afaoe,afaoe2019|Amazing FoodStuffs|AFAOE
amazing-trophies|amazingtrophies|Amazing Trophies|
|amber|Amber|
ambidextrous|ambidextrous|Ambidextrous|
|walksyambience|Ambience V2|
ambient-additions|ambientadditions|Ambient Additions|
ambient-environment|ambientenvironment|Ambient Environment|
ambient-fireflies|ambient_fireflies|Ambient Fireflies|
ambient-structures|ambient_structures|Ambient Structures|
ambientworld|ambient_world|AmbientWorld|
amblekit|amblekit|AmbleKit|
amecs|amecs|Amecs|
amendments|amendments|Amendments|
amethyst-additions|amethyst_additions,amethyst_tools|Amethyst Additions!|
amethyst-core|amethyst_core|Amethyst Core|
|mr_amethyst_corruption|Amethyst Corruption|
amethyst-equipment|amethystequipment|Amethyst Equipment|
amethyst-extra|amethystmore|Amethyst Extra|
amethyst-stairs-slabs-and-walls|amethyst_expansion|Amethyst Stairs, Slabs, and Walls|
amethyst-tools-mod|amethysttoolsmod|Amethyst Tools Mod|
amethyst-update|amethyst_update|Amethyst Update|
among-us-mobs|amongusmobs|Among Us Mobs|
amun-ra|GalacticraftAmunRa|Amun-Ra|
amys-rftl|amys_rftl|Amy's RFTL|
anakus-status-bars|anakus_status_bars|Anaku's Status Bars|
analyzeio|analyzeio|AnalyzeIO|
anbu-bingo-book-for-ahznbs-shinobicraft|anbubingobook|Anbu Bingo Book for AHZNB's ShinobiCraft|
anchor|anchor|Anchor|
ancient-aether|ancient_aether|Ancient Aether|
ancient-animals|bc|Ancient Animals|
ancient-classes|ancientclasses|Ancient Classes|
ancient-curses|ancientcurses|Ancient Curses|
ancient-elements|ancient_elements|Ancient Elements|
ancient-manuscripts|ancient_manuscripts|Ancient Manuscripts|
|ancient_one|Ancient One|
ancient-realms|ancient_realms3|Ancient Realms|
ancient-reforging|ancientreforging|Ancient Reforging|
ancient-return|ancient _return|Ancient Return|
ancient-rituals||Ancient Rituals|
ancient-sands|ancientsand|Ancient Sands|
ancient-structures-chinese||Ancient Structures: Chinese|
ancient-structure|ancientstructures|Ancient Structures: Cultural Buildings|
ancient-structures-edo-japan|edo_japan|Ancient Structures: Edo Japan|
ancient-trees|dendrology|Ancient Trees|
ancient-trees-l|dendrology|Ancient Trees L|
ancient-warfare-2-tweaked|ancientwarfare,ancientwarfareautomation,ancientwarfarenpc,ancientwarfarestructure,ancientwarfarevehicle|Ancient Warfare 2: Tweaked|
and-there-was-only-one-bed|and_there_was_only_one_bed|And There Was Only One Bed|
angel-block|angelblock|Angel Block|
angel-block-renewed|angelblockrenewed|Angel Block Renewed|
angelica|angelica|Angelica|
anger-management|angermanagement|Anger Management|
|angling|Angling|
angry-mobs|angrymobs|Angry Mobs|
anilink|anilink|AniLink|
aniskin|aniskin|AniSkin|
animal-armor-trims|animal-armor-trims|Animal Armor Trims - Horse & Wolf|
|animal_hat|Animal Hats|
animal-origins|animal_origins|Animal Origins|
animal-pens|animal_pen|Animal Pens|
animalistic|animalisticmod|Animalistic|
animalnet|animalnet|Animalnet|
animals-plus,the-animals-plus|AnimalsPlus,animals_plus|Animals Plus|
animals-trap|animals_trap,animaltrap|Animals Trap|
animals-trap-for-tfc|animaltraptfc|Animals Trap for TFC|
|mr_animated_doors|Animated Doors|
animated-recipe-book|animatedrecipebook|Animated Recipe Book|
animated-loading-screen|animated-logo|Animated loading screen|
animatica|animatica|Animatica|
